"Gemeinde";"Resultat";"Ja";"Nein";"Ja %";"Nein %"
"Solothurn";Abgelehnt;1826;3333;"35.39";"64.61"
"Kammersrohr";Abgelehnt;8;9;"47.06";"52.94"
"Stüsslingen";Abgelehnt;132;281;"31.96";"68.04"
"Trimbach";Abgelehnt;272;826;"24.77";"75.23"
"Winznau";Abgelehnt;156;438;"26.26";"73.74"
"Wisen";Abgelehnt;44;117;"27.33";"72.67"
"Bättwil";Abgelehnt;82;279;"22.71";"77.29"
"Büren";Abgelehnt;111;240;"31.62";"68.38"
"Dornach";Abgelehnt;567;1288;"30.57";"69.43"
"Gempen";Abgelehnt;81;243;"25.00";"75.00"
"Hochwald";Abgelehnt;149;382;"28.06";"71.94"
"Hofstetten-Flüh";Abgelehnt;299;815;"26.84";"73.16"
"Langendorf";Abgelehnt;356;807;"30.61";"69.39"
"Metzerlen-Mariastein";Abgelehnt;97;303;"24.25";"75.75"
"Nuglar-St. Pantaleon";Abgelehnt;142;426;"25.00";"75.00"
"Rodersdorf";Abgelehnt;131;451;"22.51";"77.49"
"Seewen";Abgelehnt;89;295;"23.18";"76.82"
"Witterswil";Abgelehnt;117;346;"25.27";"74.73"
"Bärschwil";Abgelehnt;65;195;"25.00";"75.00"
"Beinwil";Abgelehnt;35;67;"34.31";"65.69"
"Breitenbach";Abgelehnt;261;748;"25.87";"74.13"
"Büsserach";Abgelehnt;182;503;"26.57";"73.43"
"Erschwil";Abgelehnt;79;218;"26.60";"73.40"
"Lommiswil";Abgelehnt;165;433;"27.59";"72.41"
"Fehren";Abgelehnt;41;160;"20.40";"79.60"
"Grindel";Abgelehnt;34;125;"21.38";"78.62"
"Himmelried";Abgelehnt;71;255;"21.78";"78.22"
"Kleinlützel";Abgelehnt;79;344;"18.68";"81.32"
"Meltingen";Abgelehnt;52;190;"21.49";"78.51"
"Nunningen";Abgelehnt;152;481;"24.01";"75.99"
"Zullwil";Abgelehnt;27;157;"14.67";"85.33"
"Oberdorf";Abgelehnt;241;441;"35.34";"64.66"
"Riedholz";Abgelehnt;248;520;"32.29";"67.71"
"Rüttenen";Abgelehnt;184;373;"33.03";"66.97"
"Selzach";Abgelehnt;242;705;"25.55";"74.45"
"Balm b. Günsberg";Abgelehnt;29;59;"32.95";"67.05"
"Biezwil";Abgelehnt;58;87;"40.00";"60.00"
"Welschenrohr-Gänsbrunnen";Abgelehnt;105;302;"25.80";"74.20"
"Buchegg";Abgelehnt;345;841;"29.09";"70.91"
"Lostorf";Abgelehnt;345;1063;"24.50";"75.50"
"Halten";Abgelehnt;76;239;"24.13";"75.87"
"Lüsslingen-Nennigkofen";Abgelehnt;127;325;"28.10";"71.90"
"Bellach";Abgelehnt;410;890;"31.54";"68.46"
"Lüterkofen-Ichertswil";Abgelehnt;91;222;"29.07";"70.93"
"Messen";Abgelehnt;181;380;"32.26";"67.74"
"Schnottwil";Abgelehnt;109;326;"25.06";"74.94"
"Unterramsern";Abgelehnt;26;70;"27.08";"72.92"
"Aeschi";Abgelehnt;155;363;"29.92";"70.08"
"Bettlach";Abgelehnt;344;855;"28.69";"71.31"
"Biberist";Abgelehnt;578;1798;"24.33";"75.67"
"Bolken";Abgelehnt;51;188;"21.34";"78.66"
"Deitingen";Abgelehnt;207;578;"26.37";"73.63"
"Derendingen";Abgelehnt;360;998;"26.51";"73.49"
"Drei Höfe";Abgelehnt;69;224;"23.55";"76.45"
"Etziken";Abgelehnt;79;238;"24.92";"75.08"
"Gerlafingen";Abgelehnt;175;720;"19.55";"80.45"
"Horriwil";Abgelehnt;96;247;"27.99";"72.01"
"Feldbrunnen";Abgelehnt;178;237;"42.89";"57.11"
"Hüniken";Abgelehnt;20;64;"23.81";"76.19"
"Kriegstetten";Abgelehnt;82;349;"19.03";"80.97"
"Lohn-Ammannsegg";Abgelehnt;319;777;"29.11";"70.89"
"Luterbach";Abgelehnt;218;808;"21.25";"78.75"
"Obergerlafingen";Abgelehnt;72;307;"19.00";"81.00"
"Oekingen";Abgelehnt;78;221;"26.09";"73.91"
"Recherswil";Abgelehnt;141;532;"20.95";"79.05"
"Subingen";Abgelehnt;256;701;"26.75";"73.25"
"Zuchwil";Abgelehnt;432;1113;"27.96";"72.04"
"Flumenthal";Abgelehnt;71;248;"22.26";"77.74"
"Aedermannsdorf";Abgelehnt;76;192;"28.36";"71.64"
"Balsthal";Abgelehnt;425;1005;"29.72";"70.28"
"Herbetswil";Abgelehnt;56;128;"30.43";"69.57"
"Holderbank";Abgelehnt;58;164;"26.13";"73.87"
"Laupersdorf";Abgelehnt;189;445;"29.81";"70.19"
"Matzendorf";Abgelehnt;117;359;"24.58";"75.42"
"Mümliswil-Ramiswil";Abgelehnt;235;629;"27.20";"72.80"
"Egerkingen";Abgelehnt;193;646;"23.00";"77.00"
"Grenchen";Abgelehnt;866;2337;"27.04";"72.96"
"Härkingen";Abgelehnt;142;372;"27.63";"72.37"
"Kestenholz";Abgelehnt;174;449;"27.93";"72.07"
"Neuendorf";Abgelehnt;198;471;"29.60";"70.40"
"Niederbuchsiten";Abgelehnt;115;276;"29.41";"70.59"
"Oberbuchsiten";Abgelehnt;169;361;"31.89";"68.11"
"Oensingen";Abgelehnt;335;889;"27.37";"72.63"
"Wolfwil";Abgelehnt;213;528;"28.74";"71.26"
"Boningen";Abgelehnt;45;202;"18.22";"81.78"
"Däniken";Abgelehnt;215;588;"26.77";"73.23"
"Dulliken";Abgelehnt;231;695;"24.95";"75.05"
"Günsberg";Abgelehnt;117;333;"26.00";"74.00"
"Eppenberg-Wöschnau";Abgelehnt;19;50;"27.54";"72.46"
"Fulenbach";Abgelehnt;126;378;"25.00";"75.00"
"Gretzenbach";Abgelehnt;214;538;"28.46";"71.54"
"Gunzgen";Abgelehnt;113;378;"23.01";"76.99"
"Hägendorf";Abgelehnt;334;967;"25.67";"74.33"
"Kappel";Abgelehnt;232;623;"27.13";"72.87"
"Olten";Abgelehnt;1749;3183;"35.46";"64.54"
"Rickenbach";Abgelehnt;97;218;"30.79";"69.21"
"Schönenwerd";Abgelehnt;258;626;"29.19";"70.81"
"Starrkirch-Wil";Abgelehnt;167;432;"27.88";"72.12"
"Hubersdorf";Abgelehnt;87;169;"33.98";"66.02"
"Walterswil";Abgelehnt;50;160;"23.81";"76.19"
"Wangen";Abgelehnt;359;958;"27.26";"72.74"
"Erlinsbach";Abgelehnt;296;738;"28.63";"71.37"
"Hauenstein-Ifenthal";Abgelehnt;41;103;"28.47";"71.53"
"Kienberg";Abgelehnt;37;136;"21.39";"78.61"
"Niedergösgen";Abgelehnt;251;678;"27.02";"72.98"
"Obergösgen";Abgelehnt;155;428;"26.59";"73.41"
