Year;Januar Durchschnittliche Temperaturanomalität (C);Februar Durchschnittliche Temperaturanomalität (C);März Durchschnittliche Temperaturanomalität (C);April Durchschnittliche Temperaturanomalität (C);Mai Durchschnittliche Temperaturanomalität (C);Juni Durchschnittliche Temperaturanomalität (C);Juli Durchschnittliche Temperaturanomalität (C);August Durchschnittliche Temperaturanomalität (C);September Durchschnittliche Temperaturanomalität (C);Oktober Durchschnittliche Temperaturanomalität (C);November Durchschnittliche Temperaturanomalität (C);Dezember Durchschnittliche Temperaturanomalität (C);Jährliche Durchschnittliche Temperaturanomalität (C);Durchschnittliche Ausdehnung von Meereis in der Arktis in Millionen Quadratkilometern;Relative Ausdehnung von Meereis in der Arktis in Millionen Quadratkilometern;Minimale Ausdehnung von Meereis in der Arktis in Millionen Quadratkilometern;Maximale Ausdehnung von Meereis in der Arktis in Millionen Quadratkilometern;Monat, in welchem das Minimum erreicht wurde.;Monat, in welchem das Maximum erreicht wurde.;Globale durchschnittliche Meeresspiegelveränderung (mm);relative Globale  Meeresspiegelveränderung (mm);Globale CO2 Werte (ppm)
1979;0.1602;0.0922;0.243;0.1112;0.1569;0.2183;0.1746;0.2263;0.2519;0.2945;0.2953;0.5032;0.2273;7.05;above 7 million sq km;6.895;16.635;September;March;-20.9;negative;336.78
1980;0.308;0.3506;0.2389;0.3082;0.316;0.2474;0.2172;0.1957;0.2008;0.1821;0.3319;0.2674;0.2637;7.67;above 7 million sq km;7.533;16.302;September;March;-14.9;negative;338.68
1981;0.4656;0.3629;0.4083;0.3579;0.262;0.2853;0.2268;0.2428;0.186;0.1687;0.2119;0.42;0.2999;7.14;above 7 million sq km;6.902;15.801;September;March;-2.5;negative;340.1
1982;0.1342;0.1593;0.0833;0.2054;0.1923;0.1231;0.1436;0.1406;0.233;0.1771;0.151;0.4355;0.1815;7.3;above 7 million sq km;7.16;16.325;September;February;-8.3;negative;341.44
1983;0.5169;0.4834;0.4256;0.2918;0.2881;0.2629;0.2663;0.3228;0.3175;0.2113;0.4313;0.2748;0.3411;7.39;above 7 million sq km;7.204;16.412;September;March;0.1;positive;343.03
1984;0.2831;0.1753;0.272;0.1503;0.2834;0.1306;0.1193;0.1687;0.1431;0.1187;0.0365;-0.0926;0.149;6.81;6 to 7 million sq km;6.396;15.809;September;March;-0.8;negative;344.58
1985;0.1783;0.0176;0.1875;0.1488;0.1959;0.129;0.0779;0.1287;0.101;0.1303;0.1181;0.1978;0.1342;6.7;6 to 7 million sq km;6.486;16.163;September;March;-11.1;negative;346.04
1986;0.3249;0.2788;0.2966;0.2613;0.2507;0.2534;0.1686;0.1698;0.1716;0.2066;0.1548;0.2179;0.2296;7.41;above 7 million sq km;7.122;16.158;September;March;-10.5;negative;347.39
1987;0.3115;0.5028;0.2541;0.3009;0.3339;0.3013;0.4182;0.3832;0.4321;0.3347;0.3306;0.5316;0.3696;7.28;above 7 million sq km;6.89;16.293;September;February;-9.9;negative;349.16
1988;0.5487;0.3901;0.4828;0.4426;0.3811;0.3865;0.3431;0.3199;0.3211;0.3009;0.2291;0.3626;0.3757;7.37;above 7 million sq km;7.048;16.309;September;March;-5.2;negative;351.56
1989;0.2157;0.3072;0.336;0.2891;0.2779;0.2727;0.3016;0.3021;0.3019;0.3044;0.2541;0.4013;0.297;7.01;above 7 million sq km;6.888;15.766;September;March;-0.7;negative;353.07
1990;0.3613;0.4072;0.7328;0.4907;0.4274;0.4114;0.3453;0.3479;0.3144;0.4277;0.4797;0.4481;0.4328;6.14;6 to 7 million sq km;6.011;16.249;September;March;0.7;positive;354.35
