Titel;playstation?;xbox?;nintendo?;pc?;sonstige?;Punkte;Genre;editors_choice;Veröffentlichung_Jahr;Veröffentlichung_Monat
A Way Out;TRUE;TRUE;FALSE;TRUE;FALSE;8.3;Action-Adventure;N;2018;3
Adventure Time: Pirates of the Enchiridion;TRUE;TRUE;TRUE;TRUE;FALSE;5.8;Action-RPG;N;2018;7
Agony;TRUE;TRUE;TRUE;TRUE;FALSE;4;Survival;N;2018;5
Ancestors Legacy;FALSE;FALSE;FALSE;TRUE;FALSE;7.7;Strategy;N;2018;5
AO Tennis;TRUE;TRUE;FALSE;TRUE;TRUE;4.5;Sports;N;2018;1
Artifact;FALSE;FALSE;FALSE;TRUE;TRUE;8.5;Strategy;N;2018;12
Ashen;FALSE;TRUE;FALSE;TRUE;FALSE;8.5;Action-RPG;N;2018;12
Assassin's Creed Odyssey;TRUE;TRUE;FALSE;TRUE;FALSE;9.2;Action-Adventure;Y;2018;10
Assassin's Creed Odyssey - Legacy of the First Blade: Hunted DLC;TRUE;TRUE;FALSE;TRUE;FALSE;7;Action-Adventure;N;2018;12
Assassin's Creed Origins: The Curse of the Pharaohs DLC;TRUE;TRUE;FALSE;TRUE;FALSE;8.8;Action-Adventure;N;2018;3
Assassin's Creed Origins: The Hidden Ones DLC;TRUE;TRUE;FALSE;TRUE;FALSE;8.4;Action-Adventure;N;2018;2
Assassin's Creed Rogue Remastered;TRUE;TRUE;FALSE;FALSE;FALSE;6;Action-Adventure;N;2018;3
Astro Bot Rescue Mission;TRUE;FALSE;FALSE;FALSE;FALSE;9;Platformer;Y;2018;10
Attack on Titan 2;TRUE;TRUE;TRUE;TRUE;FALSE;7;Action;N;2018;3
Batman: The Enemy Within - Episode 4;TRUE;TRUE;FALSE;TRUE;TRUE;7.5;Adventure;N;2018;1
Batman: The Enemy Within - Episode 5;TRUE;TRUE;FALSE;TRUE;TRUE;7.9;Adventure;N;2018;3
Battlefield 1: Apocalypse DLC;TRUE;TRUE;FALSE;TRUE;FALSE;7;Shooter;N;2018;2
Battlefield V (Multiplayer);FALSE;FALSE;FALSE;TRUE;FALSE;7.5;Shooter;N;2018;11
Battlefield V (Single Player);FALSE;FALSE;FALSE;TRUE;FALSE;7.3;Shooter;N;2018;11
Battlerite;FALSE;FALSE;FALSE;TRUE;FALSE;8.2;Action;N;2018;1
Battlerite Royale;FALSE;FALSE;FALSE;TRUE;FALSE;8;Survival;N;2018;10
