Rang,Titel,Studio,Female-lead,POC-lead,Budget (Millionen USD),Total Bruttoeinnahmen (Millionen USD),Verdienst in den USA (Millionen USD),Verdienst ausserhalb der USA,Jahr
1.0,Avengers: Endgame,Disney,False,False,400.0,"2,797.8",858.4,"1,939.4",2019.0
2.0,Avatar,Fox,False,False,237.0,"2,790.4",760.5,"2,029.9",2009.0
3.0,Titanic,Paramount,False,False,200.0,"2,187.6",659.4,"1,528.2",1997.0
4.0,Star Wars: The Force Awakens,Disney,True,False,306.0,"2,068.2",936.7,"1,131.5",2015.0
5.0,Avengers: Infinity War,Disney,False,False,300.0,"2,048.4",678.8,"1,369.6",2018.0
6.0,Jurassic World,Universal,False,False,215.0,"1,670.4",652.3,"1,018.1",2015.0
7.0,The Lion King (2019),Disney,False,True,260.0,"1,656.9",543.6,"1,113.3",2019.0
8.0,The Avengers,Disney,False,False,225.0,"1,518.8",623.4,895.4,2012.0
9.0,Furious 7,Universal,False,False,190.0,"1,515.0",353.0,"1,162.0",2015.0
10.0,Frozen II,Disney,True,False,150.0,"1,450.0",477.4,972.6,2019.0
11.0,Avengers: Age of Ultron,Disney,False,False,365.0,"1,402.8",459.0,943.8,2015.0
12.0,Harry Potter and the Deathly Hallows Part 2,WB,False,False,125.0,"1,356.6",381.0,975.6,2011.0
13.0,Black Panther,Disney,False,True,200.0,"1,346.9",700.1,646.8,2018.0
14.0,Star Wars: The Last Jedi,Disney,True,False,200.0,"1,332.5",620.2,712.3,2017.0
15.0,Jurassic World: Fallen Kingdom,Universal,False,False,170.0,"1,308.5",416.8,891.7,2018.0
16.0,Frozen,Disney,True,False,150.0,"1,280.8",400.7,880.1,2013.0
17.0,Beauty and the Beast (2017),Disney,True,False,160.0,"1,263.5",504.0,759.5,2017.0
18.0,Incredibles 2,Disney,False,False,200.0,"1,242.8",608.6,634.2,2018.0
19.0,The Fate of the Furious,Universal,False,False,250.0,"1,236.0",226.0,"1,010.0",2017.0
20.0,Iron Man 3,Disney,False,False,200.0,"1,214.8",409.0,805.8,2013.0
21.0,Minions,Universal,False,False,74.0,"1,159.4",336.0,823.4,2015.0
22.0,Captain America: Civil War,Disney,False,False,250.0,"1,153.3",408.1,745.2,2016.0
23.0,Aquaman,WB,False,True,160.0,"1,148.5",335.1,813.4,2018.0
24.0,The Lord of the Rings: The Return of the King,New Line,False,False,94.0,"1,142.0",377.8,764.2,2003.0
25.0,Spider-Man: Far From Home,Sony,False,False,160.0,"1,131.9",390.5,741.4,2019.0
26.0,Captain Marvel,Disney,True,False,175.0,"1,128.3",426.8,701.5,2019.0
27.0,Transformers: Dark of the Moon,Paramount,False,False,195.0,"1,123.8",352.4,771.4,2011.0
28.0,Skyfall,Sony,False,False,200.0,"1,108.6",304.4,804.2,2012.0
29.0,Transformers: Age of Extinction,Paramount,False,False,210.0,"1,104.1",245.4,858.7,2014.0
30.0,The Dark Knight Rises,WB,False,False,230.0,"1,081.0",448.1,632.9,2012.0
31.0,Joker,WB,False,False,55.0,"1,074.3",335.5,738.8,2019.0
32.0,Star Wars: The Rise of Skywalker,Disney,True,False,275.0,"1,074.1",515.2,558.9,2019.0
33.0,Toy Story 4,Disney,False,False,200.0,"1,073.4",434.0,639.4,2019.0
34.0,Toy Story 3,Disney,False,False,200.0,"1,067.0",415.0,652,2010.0
35.0,Pirates of the Caribbean: Dead Man's Chest,Disney,False,False,225.0,"1,066.2",423.3,642.9,2006.0
36.0,Rogue One: A Star Wars Story,Disney,True,False,200.0,"1,056.1",532.2,523.9,2016.0
37.0,Aladdin,Disney,False,True,182.0,"1,050.7",355.6,695.1,2019.0
38.0,Pirates of the Caribbean: On Stranger Tides,Disney,False,False,379.0,"1,045.7",241.1,804.6,2011.0
39.0,Despicable Me 3,Universal,False,False,75.0,"1,034.8",264.6,770.2,2017.0
40.0,Jurassic Park,Universal,False,False,63.0,"1,032.0",402.5,629.5,1993.0
41.0,Finding Dory,Disney,True,False,200.0,"1,028.6",486.3,542.3,2016.0
42.0,Star Wars: The Phantom Menace,Fox,False,False,115.0,"1,027.1",474.5,552.6,1999.0
43.0,Alice in Wonderland (2010),Disney,True,False,200.0,"1,025.5",334.2,691.3,2010.0
44.0,Zootopia,Disney,True,False,150.0,"1,023.8",341.3,682.5,2016.0
45.0,The Hobbit: An Unexpected Journey,New Line,False,False,200.0,"1,017.0",303.0,714,2012.0
46.0,The Dark Knight,WB,False,False,185.0,"1,008.8",534.9,473.9,2008.0
47.0,Harry Potter and the Sorcerer's Stone,WB,False,False,125.0,983.1,317.6,665.5,2001.0
48.0,Harry Potter and the Deathly Hallows Part 1,WB,False,False,125.0,976.9,296.0,680.9,2010.0
49.0,Despicable Me 2,Universal,False,False,76.0,970.8,368.1,602.7,2013.0
50.0,The Lion King (1994),Disney,False,False,79.3,968.5,422.8,545.7,1994.0
51.0,The Jungle Book (2016),Disney,False,True,175.0,966.6,364.0,602.6,2016.0
52.0,Finding Nemo,Disney,False,False,94.0,962.9,380.8,582.1,2003.0
