ID;Name;wurde-getauscht;TEAM;POS;Alter;Spiele gespielt;Minuten pro Spiel;FTA;FT_PCT;TwoPA;TwoP%;ThreePA;ThreeP%;EFG%;TS%;Grösse in Inches;Grösse in cm
1;Alex Abrines;FALSE;Okc;G;25.69;31;19;13;0.923;30;50.00%;127;32.30%;48.70%;50.70%;78;198.12
2;Quincy Acy;FALSE;Pho;F;28.51;10;12.3;10;0.7;3;66.70%;15;13.30%;27.80%;37.90%;79;200.66
3;Jaylen Adams;FALSE;Atl;G;22.93;34;12.6;9;0.778;36;36.10%;74;33.80%;45.90%;47.40%;74;187.96
4;Steven Adams;FALSE;Okc;C;25.73;80;33.4;292;0.5;807;59.60%;2;0.00%;59.50%;59.10%;84;213.36
5;Bam Adebayo;FALSE;Mia;C-F;21.73;82;23.3;226;0.735;471;58.80%;15;20.00%;57.90%;62.30%;82;208.28
6;Deng Adel;FALSE;Cle;F;22.19;19;10.2;4;1;13;38.50%;23;26.10%;38.90%;42.40%;77;195.58
7;DeVaughn Akoon-Purcell;FALSE;Den;G-F;25.85;7;3.1;2;0.5;6;50.00%;4;0.00%;30.00%;32.20%;78;198.12
8;LaMarcus Aldridge;FALSE;San;F;33.73;81;33.2;412;0.847;1277;52.80%;42;23.80%;52.20%;57.60%;83;210.82
9;Rawle Alkins;FALSE;Chi;G;21.45;10;12;12;0.667;27;37.00%;12;25.00%;37.20%;41.80%;77;195.58
10;Grayson Allen;FALSE;Uta;G;23.51;38;11;60;0.75;79;44.30%;99;32.30%;46.60%;51.60%;77;195.58
11;Jarrett Allen;FALSE;Bro;C;20.97;80;26.2;278;0.709;523;62.90%;45;13.30%;59.50%;63.20%;83;210.82
12;Kadeem Allen;FALSE;Nyk;G;26.24;19;21.9;54;0.778;104;46.20%;36;47.20%;52.50%;57.70%;73;185.42
13;Al-Farouq Aminu;FALSE;Por;F;28.55;81;28.3;173;0.867;313;51.40%;280;34.30%;51.40%;56.80%;81;205.74
14;Justin Anderson;FALSE;Atl;G-F;25.39;48;9.7;35;0.743;80;50.00%;77;31.20%;48.40%;51.60%;78;198.12
15;Kyle Anderson;FALSE;Mem;F;25.56;43;29.8;64;0.578;242;58.30%;34;26.50%;56.00%;56.90%;81;205.74
16;Ryan Anderson;TRUE;Pho;F;30.93;15;18.5;14;0.786;26;46.20%;34;20.60%;37.50%;42.30%;82;208.28
17;Ryan Anderson;TRUE;Mia;F;30.93;10;4.4;2;0.5;3;0.00%;6;33.30%;33.30%;35.40%;82;208.28
18;Ike Anigbogu;FALSE;Ind;C;20.47;3;2.1;0;0;3;0.00%;0;0.00%;0.00%;0.00%;82;208.28
19;Giannis Antetokounmpo;FALSE;Mil;F;24.35;72;32.8;686;0.729;1045;64.00%;203;25.60%;59.90%;64.30%;82;208.28
20;Kostas Antetokounmpo;FALSE;Dal;F;21.39;2;5.3;4;0.5;3;0.00%;0;0.00%;0.00%;21.00%;83;210.82
21;Carmelo Anthony;FALSE;Hou;F;34.87;10;29.4;22;0.682;57;49.10%;64;32.80%;49.20%;51.30%;80;203.2
22;OG Anunoby;FALSE;Tor;F;21.74;67;20.2;62;0.581;202;57.40%;202;33.20%;53.60%;54.40%;80;203.2
23;Ryan Arcidiacono;FALSE;Chi;G;25.04;81;24.2;102;0.873;201;52.70%;218;37.20%;54.30%;58.60%;75;190.5
24;Trevor Ariza;TRUE;Pho;F;33.78;26;34;43;0.837;88;40.90%;139;36.00%;48.90%;52.50%;80;203.2
25;Trevor Ariza;TRUE;Was;F;33.78;43;34.1;121;0.777;214;52.80%;295;32.20%;50.20%;53.80%;80;203.2
26;D.J. Augustin;FALSE;Orl;G;31.42;81;28;209;0.866;366;51.10%;311;42.10%;56.60%;61.60%;72;182.88
27;Deandre Ayton;FALSE;Pho;C;20.72;71;30.7;189;0.746;866;58.80%;4;0.00%;58.50%;60.80%;85;215.9
28;Dwayne Bacon;FALSE;Cha;G-F;23.61;43;17.6;46;0.739;170;49.40%;87;43.70%;54.90%;57.00%;79;200.66
29;Marvin Bagley III;FALSE;Sac;F;20.08;62;25.3;262;0.691;610;53.40%;96;31.30%;52.50%;56.20%;83;210.82
30;Ron Baker;TRUE;Nyk;G;26.03;11;9.7;6;0.833;7;42.90%;9;11.10%;28.10%;37.60%;76;193.04
31;Ron Baker;TRUE;Was;G;26.03;4;11.4;0;0;0;0.00%;4;0.00%;0.00%;0.00%;76;193.04
32;Wade Baldwin IV;FALSE;Por;G;23.03;16;5.9;11;0.727;24;33.30%;9;22.20%;33.30%;39.60%;76;193.04
33;Lonzo Ball;FALSE;Lal;G;21.46;47;30.3;48;0.417;228;48.20%;228;32.90%;48.80%;48.70%;78;198.12
34;Mo Bamba;FALSE;Orl;C;20.92;47;16.3;63;0.587;173;55.50%;70;30.00%;52.50%;53.90%;84;213.36
35;J.J. Barea;FALSE;Dal;G;34.79;38;19.8;78;0.705;257;47.90%;128;29.70%;46.80%;49.50%;72;182.88
36;Harrison Barnes;TRUE;Dal;F;26.86;49;32.3;198;0.833;406;41.60%;311;38.90%;48.90%;53.80%;80;203.2
37;Harrison Barnes;TRUE;Sac;F;26.86;28;33.9;80;0.8;179;49.20%;130;40.80%;54.20%;58.00%;80;203.2
38;Will Barton;FALSE;Den;G;28.26;43;27.7;74;0.77;264;44.70%;196;34.20%;47.50%;50.10%;78;198.12
39;Keita Bates-Diop;FALSE;Min;F;23.21;30;16.8;28;0.643;90;52.20%;52;25.00%;46.80%;48.90%;81;205.74
40;Nicolas Batum;FALSE;Cha;G-F;30.32;75;31.4;89;0.865;265;51.70%;298;38.90%;55.20%;58.00%;80;203.2
41;Jerryd Bayless;FALSE;Min;G;30.64;34;19.3;28;0.571;132;40.20%;98;29.60%;42.00%;43.10%;75;190.5
42;Aron Baynes;FALSE;Bos;F-C;32.34;51;16.1;62;0.855;162;51.90%;61;34.40%;51.80%;56.70%;82;208.28
43;Kent Bazemore;FALSE;Atl;G;29.78;67;24.5;176;0.722;391;46.50%;300;32.00%;47.20%;50.70%;77;195.58
44;Bradley Beal;FALSE;Was;G;25.79;82;36.9;448;0.808;1012;54.80%;596;35.10%;54.00%;58.10%;77;195.58
45;Malik Beasley;FALSE;Den;G;22.37;81;23.2;66;0.848;333;55.90%;405;40.20%;58.30%;59.80%;77;195.58
46;Michael Beasley;FALSE;Lal;F;30.25;26;10.7;39;0.718;136;52.90%;17;17.60%;50.00%;53.20%;81;205.74
47;Marco Belinelli;FALSE;San;G-F;33.05;79;23;124;0.903;295;46.80%;395;37.20%;52.00%;55.70%;77;195.58
48;Jordan Bell;FALSE;Gol;F;24.26;68;11.6;41;0.61;190;52.10%;2;0.00%;51.60%;53.10%;81;205.74
49;DeAndre' Bembry;FALSE;Atl;F;24.77;82;23.6;136;0.64;444;50.70%;173;28.90%;48.60%;50.80%;78;198.12
50;Dragan Bender;FALSE;Pho;F;21.4;46;18;54;0.593;96;68.80%;101;21.80%;50.30%;52.10%;85;215.9
51;Davis Bertans;FALSE;San;F;26.41;76;21.5;60;0.883;115;51.30%;338;42.90%;61.00%;63.20%;82;208.28
52;Dairis Bertans;FALSE;Nor;G;29.59;12;13.9;0;0;13;15.40%;34;29.40%;36.20%;36.20%;76;193.04
53;Patrick Beverley;FALSE;Lac;G;30.75;78;27.4;123;0.78;194;42.30%;281;39.90%;52.60%;56.30%;73;185.42
54;Khem Birch;FALSE;Orl;C;26.53;50;12.9;83;0.699;150;60.70%;1;0.00%;60.30%;64.00%;81;205.74
55;Bismack Biyombo;FALSE;Cha;C;26.62;54;14.5;91;0.637;157;56.70%;0;0.00%;56.70%;59.90%;81;205.74
56;Nemanja Bjelica;FALSE;Sac;F;30.92;77;23.2;92;0.761;336;53.90%;257;40.10%;56.60%;58.50%;82;208.28
57;Antonio Blakeney;FALSE;Chi;G;22.52;57;14.5;76;0.658;305;42.60%;91;39.60%;46.50%;48.70%;76;193.04
58;Eric Bledsoe;FALSE;Mil;G;29.34;78;29.1;236;0.75;595;58.20%;377;32.90%;54.70%;57.70%;73;185.42
59;Jaron Blossomgame;FALSE;Cle;F;25.57;27;16.3;13;0.769;68;54.40%;39;25.60%;48.60%;50.60%;78;198.12
60;Bojan Bogdanovic;FALSE;Ind;F;29.98;81;31.8;305;0.807;664;53.90%;386;42.50%;57.50%;61.40%;78;198.12
61;Bogdan Bogdanovic;FALSE;Sac;G;26.64;70;27.8;162;0.827;491;46.20%;372;36.00%;49.60%;53.00%;80;203.2
62;Andrew Bogut;FALSE;Gol;C;34.37;11;12.2;3;1;36;50.00%;0;0.00%;50.00%;52.30%;84;213.36
63;Jonah Bolden;FALSE;Phi;F;23.27;44;14.5;27;0.481;66;69.70%;96;35.40%;59.90%;59.50%;82;208.28
64;Isaac Bonga;FALSE;Lal;G;19.42;22;5.5;15;0.6;25;20.00%;8;0.00%;15.20%;24.00%;80;203.2
65;Devin Booker;FALSE;Pho;G;22.44;64;35;454;0.866;841;53.60%;414;32.60%;52.10%;58.40%;78;198.12
66;Chris Boucher;FALSE;Tor;F;26.25;28;5.8;15;0.867;39;56.40%;37;32.40%;52.60%;56.30%;82;208.28
67;Avery Bradley;TRUE;Lac;G;28.37;49;29.9;25;0.8;248;41.50%;172;33.70%;45.20%;46.40%;74;187.96
68;Avery Bradley;TRUE;Mem;G;28.37;14;31.6;25;0.92;115;51.30%;73;38.40%;53.70%;56.50%;74;187.96
69;Tony Bradley;FALSE;Uta;C;21.17;3;12;2;0.5;16;50.00%;0;0.00%;50.00%;50.40%;82;208.28
70;Corey Brewer;TRUE;Phi;G-F;33.1;7;19.9;13;0.692;35;45.70%;14;28.60%;44.90%;48.40%;81;205.74
71;Corey Brewer;TRUE;Sac;G-F;33.1;24;14.7;30;0.733;44;52.30%;30;33.30%;51.40%;56.20%;81;205.74
72;Miles Bridges;FALSE;Cha;F;21.06;80;21.2;77;0.753;311;55.30%;200;32.50%;52.70%;54.80%;79;200.66
73;Mikal Bridges;FALSE;Pho;F;22.61;82;29.5;118;0.805;250;54.80%;313;33.50%;52.30%;55.60%;79;200.66
74;Isaiah Briscoe;FALSE;Orl;G;22.99;39;14.3;26;0.577;104;42.30%;34;32.40%;43.80%;45.50%;75;190.5
75;Ryan Broekhoff;FALSE;Dal;G-F;28.63;42;10.8;19;0.789;33;57.60%;94;40.40%;59.80%;61.70%;79;200.66
76;Malcolm Brogdon;FALSE;Mil;G;26.33;64;28.6;152;0.928;503;54.50%;244;42.60%;57.60%;61.50%;77;195.58
77;Dillon Brooks;FALSE;Mem;G-F;23.22;18;18.3;30;0.733;82;41.50%;40;37.50%;46.30%;49.90%;77;195.58
78;MarShon Brooks;FALSE;Mem;G;30.21;29;13.3;33;0.697;115;53.00%;54;27.80%;49.40%;51.80%;78;198.12
79;Troy Brown Jr.;FALSE;Was;F;19.7;52;14;47;0.681;165;45.50%;69;31.90%;46.20%;48.70%;79;200.66
80;Bruce Brown;FALSE;Det;G;22.65;74;19.6;60;0.75;222;45.50%;93;25.80%;43.50%;46.70%;77;195.58
81;Jaylen Brown;FALSE;Bos;F;22.46;74;25.9;202;0.658;516;52.90%;276;34.40%;52.50%;54.70%;77;195.58
82;Lorenzo Brown;FALSE;Tor;G;28.63;26;8.2;3;1;43;39.50%;28;21.40%;36.60%;38.00%;78;198.12
83;Sterling Brown;FALSE;Mil;G;24.16;58;17.8;42;0.69;165;55.80%;147;36.10%;55.00%;56.30%;79;200.66
84;Jalen Brunson;FALSE;Dal;G;22.61;73;21.8;120;0.725;384;52.30%;181;34.80%;52.30%;54.90%;75;190.5
85;Thomas Bryant;FALSE;Was;C;21.7;72;20.8;137;0.781;404;68.30%;99;33.30%;64.70%;67.30%;83;210.82
86;Reggie Bullock;TRUE;Det;F;28.07;44;30.8;64;0.875;147;46.30%;294;38.80%;54.20%;56.90%;79;200.66
87;Reggie Bullock;TRUE;Lal;G-F;28.07;19;27.6;21;0.81;54;53.70%;99;34.30%;52.30%;54.50%;79;200.66
88;Trey Burke;TRUE;Nyk;G;26.41;33;20.9;75;0.827;272;43.40%;86;34.90%;45.50%;49.60%;73;185.42
89;Trey Burke;TRUE;Dal;G;26.41;25;17.4;49;0.837;117;53.00%;74;35.10%;52.90%;57.20%;73;185.42
90;Alec Burks;TRUE;Uta;G;27.73;17;15.8;38;0.868;71;43.70%;43;37.20%;48.20%;54.70%;78;198.12
91;Alec Burks;TRUE;Cle;G;27.73;34;28.8;98;0.806;221;41.20%;119;37.80%;46.60%;51.70%;78;198.12
92;Alec Burks;TRUE;Sac;G;27.73;13;9.7;5;0.8;14;64.30%;6;0.00%;45.00%;49.50%;78;198.12
93;Deonte Burton;FALSE;Okc;G;25.19;32;7.5;12;0.667;55;45.50%;27;29.60%;45.10%;47.00%;77;195.58
94;Jimmy Butler;TRUE;Min;G-F;29.57;10;36.1;61;0.787;112;50.90%;45;37.80%;52.50%;57.90%;80;203.2
95;Jimmy Butler;TRUE;Phi;G-F;29.57;55;33.2;304;0.868;600;49.00%;147;34.00%;49.40%;56.90%;80;203.2
96;Bruno Caboclo;FALSE;Mem;F;23.55;34;23.5;50;0.84;95;50.50%;130;36.90%;53.30%;57.10%;81;205.74
97;Jose Calderon;FALSE;Det;G;37.54;48;13.2;11;0.818;63;49.20%;57;24.60%;43.30%;45.30%;75;190.5
98;Kentavious Caldwell-Pope;FALSE;Lal;G;26.14;82;24.8;158;0.867;321;54.20%;436;34.60%;52.90%;56.70%;77;195.58
99;Isaiah Canaan;TRUE;Pho;G;27.89;19;26.4;20;0.75;57;45.60%;72;34.70%;49.20%;51.50%;72;182.88
100;Isaiah Canaan;TRUE;Min;G;27.89;7;13.6;4;1;10;40.00%;19;36.80%;50.00%;53.60%;72;182.88
101;Isaiah Canaan;TRUE;Mil;G;27.89;4;7.6;0;0;1;0.00%;5;40.00%;50.00%;50.00%;72;182.88
102;Clint Capela;FALSE;Hou;C;24.9;67;33.6;261;0.636;732;64.80%;0;0.00%;64.80%;65.80%;82;208.28
103;DeMarre Carroll;FALSE;Bro;F;32.71;67;25.4;242;0.76;264;45.80%;311;34.10%;48.70%;54.60%;80;203.2
104;Wendell Carter Jr.;FALSE;Chi;F;19.99;44;25.2;112;0.795;338;51.50%;32;18.80%;49.50%;54.30%;82;208.28
105;Jevon Carter;FALSE;Mem;G;23.57;39;14.8;32;0.813;83;26.50%;102;33.30%;39.50%;43.20%;74;187.96
106;Vince Carter;FALSE;Atl;G-F;42.21;76;17.5;66;0.712;152;48.00%;316;38.90%;55.00%;56.50%;78;198.12
107;Michael Carter-Williams;TRUE;Hou;G;27.5;16;9;26;0.462;42;42.90%;19;36.80%;46.70%;47.60%;78;198.12
