Bibliotheken;Gesamtes Medienangebot;Ausleihen ;Elektronische Zeitschriften und Zeitungen online verfügbar;EBooks online verfügbar;Aktive Benutzer
Bibliothek der Eidgenössischen Technischen Hochschule Zürich (ETHZ);9 509 778 ;421 288 ;20 740 ;714 869 ;26 054 
Bibliothèque cantonale et universitaire de Lausanne;8 625 222 ;748 349 ;122 184 ;469 235 ;19 560 
Bibliothèque de Genève;7 199 521 ;117 793 ;109 239 ;631 706 ;5 242 
Schweizerische Nationalbibliothek;6 512 810 ;76 972 ;0 ;65 097 ;6 119 
Universitätsbibliothek Basel;6 506 946 ;468 622 ;133 545 ;553 251 ;19 206 
Zentralbibliothek Zürich;6 459 273 ;858 519 ;119 857 ;185 012 ;48 249 
Universitätsbibliothek Bern;4 337 057 ;747 564 ;164 711 ;363 543 ;22 534 
Bibliothèque cantonale et universitaire de Fribourg;3 828 214 ;451 303 ;85 734 ;415 873 ;15 207 
Zentral- und Hochschulbibliothek Luzern;1 511 985 ;364 295 ;231 160 ;188 573 ;23 150 
Bibliothèque de l'Université de Genève;1 300 805 ;184 137 ;112 660 ;555 062 ;13 421 
